draw,strategy,cost,effect,perspective,jurisdiction
0,UC,5496.714153011233,2.930867849414408,healthcare,AU
0,ECT,16943.06561430208,7.718423885126421,healthcare,AU
0,KA-ECT,17180.463188468326,6.789276738745738,healthcare,AU
0,IV-KA,15948.032038768479,6.037204310407036,healthcare,AU
0,IN-EKA,18122.102456260192,5.325536026151579,healthcare,AU
0,PO-PSI,22682.91153593769,5.627416197143795,healthcare,AU
0,PO-KA,8362.943407349052,3.3520318532053213,healthcare,AU
0,rTMS,6550.164334973934,3.718856235379514,healthcare,AU
0,UC+Li,4784.602655598692,3.657123666297637,healthcare,AU
0,UC+AA,5728.766294270305,2.4938481493323543,healthcare,AU
1,UC,6465.648768921554,2.887111849756732,healthcare,AU
1,ECT,15202.584614063771,5.360201451029234,healthcare,AU
1,KA-ECT,16094.660464161861,7.09983033073888,healthcare,AU
1,IV-KA,9122.516056444243,5.76298861284197,healthcare,AU
1,IN-EKA,17597.44524032478,4.824983750124034,healthcare,AU
1,PO-PSI,21991.466938853016,7.48182254760715,healthcare,AU
1,PO-KA,7979.754162893099,3.86537344262646,healthcare,AU
1,rTMS,11645.089824206378,3.389578175014489,healthcare,AU
1,UC+Li,6250.6363140057065,2.520164938060112,healthcare,AU
1,UC+AA,5140.539531542197,3.298430617934562,healthcare,AU
2,UC,5738.46657999541,3.085684140594985,healthcare,AU
2,ECT,14653.055152835279,6.259117043528569,healthcare,AU
2,KA-ECT,12825.173033714003,6.352140212444763,healthcare,AU
2,IV-KA,10848.403072600531,6.239985558353241,healthcare,AU
2,IN-EKA,21374.473158273846,3.9421759067823596,healthcare,AU
2,PO-PSI,26620.419846973975,5.691934175666947,healthcare,AU
2,PO-KA,6984.616999541062,4.867005773304521,healthcare,AU
2,rTMS,12061.999044991902,4.465640059558099,healthcare,AU
2,UC+Li,4992.938972132833,3.3453938120743927,healthcare,AU
2,UC+AA,7463.768803964989,3.6877725635611798,healthcare,AU
3,UC,4520.82576215471,2.9071705116680913,healthcare,AU
3,ECT,11680.995077981916,5.543034700735463,healthcare,AU
3,KA-ECT,20843.840378379693,8.22061602571374,healthcare,AU
3,IV-KA,11819.974696049165,6.202473028524417,healthcare,AU
3,IN-EKA,21446.54410019054,4.612928147236925,healthcare,AU
3,PO-PSI,26806.97802754207,7.230429253172775,healthcare,AU
3,PO-KA,7946.260941335073,5.438786193488403,healthcare,AU
3,rTMS,4760.509791820511,4.410951252187612,healthcare,AU
3,UC+Li,6104.456481885805,3.3504963247670663,healthcare,AU
3,UC+AA,7128.465087149703,2.206215542699554,healthcare,AU
4,UC,4780.328112162488,3.178556285755873,healthcare,AU
4,ECT,19433.68213422455,6.085383825381082,healthcare,AU
4,KA-ECT,15170.272389873844,6.548418660773917,healthcare,AU
4,IV-KA,14288.505294255185,5.7301257767617795,healthcare,AU
4,IN-EKA,17880.959184931846,5.3079604598680135,healthcare,AU
4,PO-PSI,25485.3877467402,6.774915992426312,healthcare,AU
4,PO-KA,6946.920359183971,4.303402712041339,healthcare,AU
4,rTMS,9215.783693735684,3.2682425259339407,healthcare,AU
4,UC+Li,6355.344332477492,3.6305276360899446,healthcare,AU
4,UC+AA,7007.158839299445,3.0827064333124263,healthcare,AU
5,UC,3584.6292579495857,2.7896773386173206,healthcare,AU
5,ECT,13971.856450419691,5.858178184622705,healthcare,AU
5,KA-ECT,17435.50000916897,7.3636457711330845,healthcare,AU
5,IV-KA,16715.464753026325,5.622204468982288,healthcare,AU
5,IN-EKA,21030.201562891056,4.9553324505403,healthcare,AU
5,PO-PSI,15406.143923504793,5.978788899640627,healthcare,AU
5,PO-KA,8090.345314911539,5.9779452674911715,healthcare,AU
5,rTMS,9615.278070437755,4.150773671166807,healthcare,AU
5,UC+Li,5958.345876353708,2.915660981190234,healthcare,AU
5,UC+AA,8599.951940321029,3.5759665163433874,healthcare,AU
6,UC,5791.031947043047,2.5453062726026303,healthcare,AU
6,ECT,19208.382932808297,5.378519149766175,healthcare,AU
6,KA-ECT,20053.999828300945,8.97141006322898,healthcare,AU
6,IV-KA,9523.65918717328,5.10359158927806,healthcare,AU
6,IN-EKA,20398.605460350565,4.69791460753028,healthcare,AU
6,PO-PSI,17246.682844669336,6.054850379844821,healthcare,AU
6,PO-KA,6406.544429410843,4.784155458381109,healthcare,AU
6,rTMS,8161.151531532393,4.77496720250877,healthcare,AU
6,UC+Li,5060.096049196515,3.3389692418971624,healthcare,AU
6,UC+AA,8138.924104317538,2.5845678417830227,healthcare,AU
7,UC,5227.45993460413,3.653571377141214,healthcare,AU
7,ECT,10177.550296316318,6.647707086825843,healthcare,AU
7,KA-ECT,18909.589779869482,7.7036405845995795,healthcare,AU
7,IV-KA,8907.623222804796,4.575680370841007,healthcare,AU
7,IN-EKA,22087.76626246759,5.178190803939912,healthcare,AU
7,PO-PSI,26252.464251729383,6.2771585675975805,healthcare,AU
7,PO-KA,6979.962917632264,4.639352218296602,healthcare,AU
7,rTMS,10586.144946597362,3.642824290986816,healthcare,AU
7,UC+Li,8238.929413373708,3.7369164604558938,healthcare,AU
7,UC+AA,5332.175103916292,3.5282768043169153,healthcare,AU
8,UC,4025.3183297726787,3.393542301871226,healthcare,AU
8,ECT,18475.786737022212,5.843454145318631,healthcare,AU
8,KA-ECT,21371.816452355128,7.371502834242849,healthcare,AU
8,IV-KA,14055.150399986225,6.827755087857763,healthcare,AU
8,IN-EKA,19018.44753598852,4.547758301385506,healthcare,AU
8,PO-PSI,20552.427851872384,5.3473517720276496,healthcare,AU
8,PO-KA,7884.3474358788435,4.704691184889986,healthcare,AU
8,rTMS,10553.381598660038,4.413591624518012,healthcare,AU
8,UC+Li,6015.602270253488,4.226767038578658,healthcare,AU
8,UC+AA,6629.4804334668615,4.56008458329481,healthcare,AU
9,UC,5625.6673477650065,2.5714212217918586,healthcare,AU
9,ECT,11787.322505816663,6.885977932194549,healthcare,AU
9,KA-ECT,17217.880251359522,7.642600444682882,healthcare,AU
9,IV-KA,13183.094061433861,5.449019761140189,healthcare,AU
9,IN-EKA,16612.82512772638,4.091091665188482,healthcare,AU
9,PO-PSI,22767.425239664895,6.6851190354587775,healthcare,AU
9,PO-KA,8321.140616195305,3.752556732772807,healthcare,AU
9,rTMS,10346.361851702364,4.192658689864419,healthcare,AU
9,UC+Li,4939.37107655864,3.576862552972764,healthcare,AU
9,UC+AA,7081.4922058244,2.6285148510846885,healthcare,AU
10,UC,5357.787360348283,3.280392263184117,healthcare,AU
10,ECT,18249.15372952583,7.343041641627923,healthcare,AU
10,KA-ECT,13178.157212150181,6.15595746407639,healthcare,AU
10,IV-KA,13287.58816802165,5.859650165638546,healthcare,AU
10,IN-EKA,22060.19074522419,7.311638894392832,healthcare,AU
10,PO-PSI,27854.452553465835,6.908452512144479,healthcare,AU
10,PO-KA,9431.002645239803,4.890834750783479,healthcare,AU
10,rTMS,9369.46151071931,4.379484610246633,healthcare,AU
10,UC+Li,5072.609742554914,3.3815906966299956,healthcare,AU
10,UC+AA,6320.491033039255,3.2409370696931616,healthcare,AU
11,UC,7314.658566673509,2.0663674037041257,healthcare,AU
11,ECT,17058.78057112354,5.209827303048279,healthcare,AU
11,KA-ECT,16348.238469736983,7.98005553727063,healthcare,AU
11,IV-KA,12160.700047738657,4.745578655449486,healthcare,AU
11,IN-EKA,17138.78516296013,5.407758649360805,healthcare,AU
11,PO-PSI,21348.166841414317,6.17316687166558,healthcare,AU
11,PO-KA,8068.35775985572,4.10903979143651,healthcare,AU
11,rTMS,14287.888178650652,4.316959511159006,healthcare,AU
11,UC+Li,3569.8288960108716,3.593227157384714,healthcare,AU
11,UC+AA,6073.4989493242565,3.626216667398112,healthcare,AU
12,UC,4207.4792615673,2.9426317792665504,healthcare,AU
12,ECT,16514.961836941373,7.192604155336097,healthcare,AU
12,KA-ECT,13798.962575304784,6.698948887743146,healthcare,AU
12,IV-KA,10812.63672209761,5.042669537198401,healthcare,AU
12,IN-EKA,27061.816961124387,5.2429890265765735,healthcare,AU
12,PO-PSI,18695.580228324776,6.734289557643821,healthcare,AU
12,PO-KA,11183.23429551895,5.119479156330688,healthcare,AU
12,rTMS,6961.260068091973,3.7578829635668742,healthcare,AU
12,UC+Li,7520.293379023948,3.1461652671906095,healthcare,AU
12,UC+AA,7621.3471994047195,3.5873170267146683,healthcare,AU
13,UC,4073.069528421917,2.9702373219691,healthcare,AU
13,ECT,5276.1979797927825,5.680489886932568,healthcare,AU
13,KA-ECT,17116.01147012394,5.876995136231636,healthcare,AU
13,IV-KA,16081.028259829089,4.498901035427557,healthcare,AU
13,IN-EKA,18239.822053212065,5.078444346371655,healthcare,AU
13,PO-PSI,32206.36644533058,4.851310279056449,healthcare,AU
13,PO-KA,9744.74562823244,4.506139836611752,healthcare,AU
13,rTMS,8036.982697904098,4.231051737131636,healthcare,AU
13,UC+Li,6238.871634688164,3.1998915614206025,healthcare,AU
13,UC+AA,7097.722918986026,3.00734320156912,healthcare,AU
14,UC,5113.517345251248,3.3310653372605232,healthcare,AU
14,ECT,19758.050448436057,5.509747600938521,healthcare,AU
14,KA-ECT,25465.61681129693,5.243120980429748,healthcare,AU
14,IV-KA,11620.537262411042,5.911822044539203,healthcare,AU
14,IN-EKA,21123.96747094013,4.626380288107644,healthcare,AU
14,PO-PSI,23959.388748213623,5.605599252272934,healthcare,AU
14,PO-KA,7115.952864583683,5.009761258212615,healthcare,AU
14,rTMS,10714.030971930095,3.653545202369673,healthcare,AU
14,UC+Li,7079.5198505199005,3.6536497604383045,healthcare,AU
14,UC+AA,8138.006966374544,3.514814420961806,healthcare,AU
15,UC,4171.004989077927,2.7199094799015153,healthcare,AU
15,ECT,17241.880815369786,6.988296212346772,healthcare,AU
15,KA-ECT,17926.844421125483,7.105594644977904,healthcare,AU
15,IV-KA,15194.162239471063,5.085900027814919,healthcare,AU
15,IN-EKA,22188.38952468015,4.878684408539663,healthcare,AU
15,PO-PSI,23911.5939838639,6.879021481589752,healthcare,AU
15,PO-KA,9238.124523482045,4.9881057816003835,healthcare,AU
15,rTMS,12610.957614308658,4.010501920816379,healthcare,AU
15,UC+Li,6818.343565553957,3.344866621703272,healthcare,AU
15,UC+AA,7453.832893483819,3.1349284728161577,healthcare,AU
16,UC,5096.995964992718,3.2975785127184567,healthcare,AU
16,ECT,12545.337950299583,8.173909820548369,healthcare,AU
16,KA-ECT,14478.939164751044,5.907230248491041,healthcare,AU
16,IV-KA,14895.27718375017,6.054163885774055,healthcare,AU
16,IN-EKA,22496.47926820862,5.377007305558568,healthcare,AU
16,PO-PSI,24938.766135765425,5.282196502811335,healthcare,AU
16,PO-KA,8113.70683729059,4.093702973092733,healthcare,AU
16,rTMS,11950.239466835503,3.9264713092489307,healthcare,AU
16,UC+Li,5009.403363848986,3.339307079173503,healthcare,AU
16,UC+AA,7578.104035985874,2.918137723598013,healthcare,AU
17,UC,4177.779604433568,3.121843605745956,healthcare,AU
17,ECT,15734.89971332617,6.094445459703096,healthcare,AU
17,KA-ECT,16351.36593033587,7.208844943621872,healthcare,AU
17,IV-KA,8379.78914625669,4.514775357936411,healthcare,AU
17,IN-EKA,17126.223114990255,4.871931708972892,healthcare,AU
17,PO-PSI,26554.53782799002,7.180284973559641,healthcare,AU
17,PO-KA,9286.489434803028,4.404036882021944,healthcare,AU
17,rTMS,9961.967584194623,3.4987353176810956,healthcare,AU
17,UC+Li,5977.784236809132,3.355670680539931,healthcare,AU
17,UC+AA,7451.805984473325,2.786384528223839,healthcare,AU
18,UC,5519.346514241172,3.766369456501289,healthcare,AU
18,ECT,14673.719554629428,6.8213693776791535,healthcare,AU
18,KA-ECT,20415.503970988895,6.638901575302747,healthcare,AU
18,IV-KA,12560.231204526042,5.508814680547256,healthcare,AU
18,IN-EKA,20390.704394195327,4.53619412968672,healthcare,AU
18,PO-PSI,25122.550871294712,6.39839863299636,healthcare,AU
18,PO-KA,10176.715411692563,5.075562495651124,healthcare,AU
18,rTMS,14306.364915023112,3.616326218555975,healthcare,AU
18,UC+Li,7046.784764064814,3.591671002869176,healthcare,AU
18,UC+AA,10065.724106504742,2.7958508573224243,healthcare,AU
19,UC,4160.278157819224,2.700303677277989,healthcare,AU
19,ECT,8628.31282707058,6.079395982655391,healthcare,AU
19,KA-ECT,15343.035684562057,7.135354407828586,healthcare,AU
19,IV-KA,12854.389939442899,6.8133195874511205,healthcare,AU
19,IN-EKA,23801.695352744202,4.653857806602558,healthcare,AU
19,PO-PSI,20507.92664325821,6.393535337205204,healthcare,AU
19,PO-KA,6019.650189469036,5.598875259512612,healthcare,AU
19,rTMS,12358.880241442574,3.765412173947648,healthcare,AU
19,UC+Li,3944.2385650909464,4.176936187082706,healthcare,AU
19,UC+AA,6839.644216646335,3.818908155986731,healthcare,AU
20,UC,3405.5723412056327,2.700312488523114,healthcare,AU
20,ECT,15015.73109915455,6.537584475011793,healthcare,AU
20,KA-ECT,16424.770849822646,7.560564939112749,healthcare,AU
20,IV-KA,9330.948926543513,5.400334360485094,healthcare,AU
20,IN-EKA,20481.182526847595,5.308663300435249,healthcare,AU
20,PO-PSI,28558.074390444446,5.100286326529705,healthcare,AU
20,PO-KA,5698.828743896566,5.266606093139106,healthcare,AU
20,rTMS,10664.628023959183,3.625756731721723,healthcare,AU
20,UC+Li,7861.382370627028,3.5578373171464293,healthcare,AU
20,UC+AA,8651.016057689358,3.2337592407050546,healthcare,AU
21,UC,7060.747924881987,3.877670421221602,healthcare,AU
21,ECT,14253.10755456278,7.277256760763485,healthcare,AU
21,KA-ECT,20258.815823548015,8.231768401779114,healthcare,AU
21,IV-KA,9587.691348549739,5.980236021998907,healthcare,AU
21,IN-EKA,24233.697947398352,3.9447563081461317,healthcare,AU
21,PO-PSI,19083.707436671124,4.368614257791919,healthcare,AU
21,PO-KA,7595.889748333164,4.930525353477577,healthcare,AU
21,rTMS,13004.714104192057,4.037047390209888,healthcare,AU
21,UC+Li,7954.33865468555,2.809949270892554,healthcare,AU
21,UC+AA,4615.264584902783,3.172226150551691,healthcare,AU
22,UC,5384.065448939307,2.9836526259529537,healthcare,AU
22,ECT,8797.67369988037,6.428703968389769,healthcare,AU
22,KA-ECT,13434.356748233015,7.602705293947035,healthcare,AU
22,IV-KA,12916.49561524212,4.8420841495708515,healthcare,AU
22,IN-EKA,17944.532330653226,4.364471886866629,healthcare,AU
22,PO-PSI,24686.60451363414,6.764113856400991,healthcare,AU
22,PO-KA,6521.410930496684,4.8024279093107065,healthcare,AU
22,rTMS,8939.48476325512,3.603563583868828,healthcare,AU
22,UC+Li,5871.563568054531,2.982378838790313,healthcare,AU
22,UC+AA,6224.890972513945,2.601061053705576,healthcare,AU
23,UC,6964.725132916389,3.017631775985864,healthcare,AU
23,ECT,12900.823476022244,6.671183928587378,healthcare,AU
23,KA-ECT,17606.851826082097,6.801127360420099,healthcare,AU
23,IV-KA,13535.416750108563,6.030255397033113,healthcare,AU
23,IN-EKA,17877.99540955789,4.654509055613192,healthcare,AU
23,PO-PSI,23624.74151424178,4.158463068211532,healthcare,AU
23,PO-KA,5727.213406702172,5.320124560466715,healthcare,AU
23,rTMS,13289.935427002567,3.875481980221811,healthcare,AU
23,UC+Li,6691.868355666919,3.655625077271768,healthcare,AU
23,UC+AA,11310.433131837333,3.7597874557172886,healthcare,AU
24,UC,4872.0824085192335,2.5222297796997872,healthcare,AU
24,ECT,10180.661039227283,6.662770908693778,healthcare,AU
24,KA-ECT,15352.77239150494,5.719971661362093,healthcare,AU
24,IV-KA,10383.567789393683,4.742916397469924,healthcare,AU
24,IN-EKA,26748.56654029026,5.52898385416967,healthcare,AU
24,PO-PSI,24960.136793416914,7.183955311112021,healthcare,AU
24,PO-KA,8116.052461471428,3.983229479203042,healthcare,AU
24,rTMS,13046.248154539315,4.2694550218423295,healthcare,AU
24,UC+Li,4755.304614808252,3.4048306609581958,healthcare,AU
24,UC+AA,5774.134445261339,2.508600134517832,healthcare,AU
25,UC,5926.177547531642,3.9547083202350652,healthcare,AU
25,ECT,10804.297278542577,6.950375389352457,healthcare,AU
25,KA-ECT,15722.751008073605,6.561587154611773,healthcare,AU
25,IV-KA,10519.015189402828,4.895206461224129,healthcare,AU
25,IN-EKA,20194.086511779307,4.501429930153377,healthcare,AU
25,PO-PSI,26352.284128899195,5.959809512440691,healthcare,AU
25,PO-KA,7641.5779297003855,3.9554618027750412,healthcare,AU
25,rTMS,8846.457338863334,4.377695612912878,healthcare,AU
