draw,strategy,cost,effect,perspective,jurisdiction
0,UC,5496.714153011233,2.930867849414408,societal,NZ
0,ECT,16943.06561430208,7.718423885126421,societal,NZ
0,KA-ECT,17180.463188468326,6.789276738745738,societal,NZ
0,IV-KA,15948.032038768479,6.037204310407036,societal,NZ
0,IN-EKA,18122.102456260192,5.325536026151579,societal,NZ
0,PO-PSI,22682.91153593769,5.627416197143795,societal,NZ
0,PO-KA,8362.943407349052,3.3520318532053213,societal,NZ
0,rTMS,6550.164334973934,3.718856235379514,societal,NZ
0,UC+Li,4784.602655598692,3.657123666297637,societal,NZ
0,UC+AA,5728.766294270305,2.4938481493323543,societal,NZ
1,UC,6465.648768921554,2.887111849756732,societal,NZ
1,ECT,15202.584614063771,5.360201451029234,societal,NZ
1,KA-ECT,16094.660464161861,7.09983033073888,societal,NZ
1,IV-KA,9122.516056444243,5.76298861284197,societal,NZ
1,IN-EKA,17597.44524032478,4.824983750124034,societal,NZ
1,PO-PSI,21991.466938853016,7.48182254760715,societal,NZ
1,PO-KA,7979.754162893099,3.86537344262646,societal,NZ
1,rTMS,11645.089824206378,3.389578175014489,societal,NZ
1,UC+Li,6250.6363140057065,2.520164938060112,societal,NZ
1,UC+AA,5140.539531542197,3.298430617934562,societal,NZ
2,UC,5738.46657999541,3.085684140594985,societal,NZ
2,ECT,14653.055152835279,6.259117043528569,societal,NZ
2,KA-ECT,12825.173033714003,6.352140212444763,societal,NZ
2,IV-KA,10848.403072600531,6.239985558353241,societal,NZ
2,IN-EKA,21374.473158273846,3.9421759067823596,societal,NZ
2,PO-PSI,26620.419846973975,5.691934175666947,societal,NZ
2,PO-KA,6984.616999541062,4.867005773304521,societal,NZ
2,rTMS,12061.999044991902,4.465640059558099,societal,NZ
2,UC+Li,4992.938972132833,3.3453938120743927,societal,NZ
2,UC+AA,7463.768803964989,3.6877725635611798,societal,NZ
3,UC,4520.82576215471,2.9071705116680913,societal,NZ
3,ECT,11680.995077981916,5.543034700735463,societal,NZ
3,KA-ECT,20843.840378379693,8.22061602571374,societal,NZ
3,IV-KA,11819.974696049165,6.202473028524417,societal,NZ
3,IN-EKA,21446.54410019054,4.612928147236925,societal,NZ
3,PO-PSI,26806.97802754207,7.230429253172775,societal,NZ
3,PO-KA,7946.260941335073,5.438786193488403,societal,NZ
3,rTMS,4760.509791820511,4.410951252187612,societal,NZ
3,UC+Li,6104.456481885805,3.3504963247670663,societal,NZ
